timestamp,mem_write_time,mem_read_time,file_write_time,file_read_time,rtt,tsc_jump
14619116812705,10875414,9089968,36966,5176,0.21,744868
14619224685463,10533114,10109548,52002,5712,0.21,8554808
14619324601415,9956760,10179864,58520,5450,0.21,4081402
14619424483498,9468022,9961708,34620,4418,0.21,14197020
14619524873662,10022864,10220548,60150,5158,0.21,3160316
14619624684464,9445444,9895858,59156,4916,0.21,15726798
14619725009410,10055930,10277584,60640,5242,0.21,14044064
14619824875308,9447386,10334094,47810,6010,0.21,17783136
14619924868335,9639554,9817292,46648,5238,0.21,819662
14620024686113,9575266,8908788,44138,5840,0.21,850944
14620124737459,9628638,8862230,31180,3736,0.20,802188
14620224802764,9590254,8836260,32602,4050,0.20,768102
14620324879418,9571006,8847430,30642,3806,0.20,801250
14620424955971,9569800,8838040,29642,3698,0.20,803920
14620525038949,9572798,8836372,29138,4248,0.20,796644
14620625122553,9593052,8834686,29186,3750,0.20,622656
14620725177345,9520900,8839218,28676,3906,0.20,801054
14620825302093,9495318,8919482,28416,3940,0.20,622964
14620925387779,9502828,8919424,30060,3986,0.20,787218
14621025541260,9484124,8911010,41696,6476,0.20,806190
14621125592910,9468574,8924104,30146,4086,0.13,795456
14621225662667,9452992,8903084,28574,3646,0.13,760816
14621325745675,9511398,8855852,29054,3644,0.13,621652
14621425823237,9513148,8848048,28516,3486,0.13,795360
14621525899431,9498012,8852066,28006,3544,0.13,795768
14621625977075,9493716,8840190,28228,3640,0.13,643294
14621726057310,9500702,8833004,29136,3984,0.13,626180
14621826144433,9510868,8841404,28774,3590,0.13,642188
14621926246356,9497918,8851690,29162,4072,0.13,789896
14622026324209,9504640,8916352,29268,3874,0.13,789886
14622126409233,9438806,8964138,58244,4008,0.11,643840
14622226496761,9439822,8906626,29034,3718,0.11,786218
14622326577306,9530512,8821632,28792,3924,0.11,621510
14622426659357,9530710,8825146,30896,4020,0.11,630768
14622526739575,9578900,8787300,28452,3890,0.11,626946
14622626815586,9580844,8770934,28686,3760,0.11,804070
14622726893739,9575612,8774844,27938,3904,0.11,629092
14622826972297,9570370,8780330,29262,3710,0.11,674978
14622927052286,9577066,8768904,27948,3698,0.11,795182
14623027187945,9613822,8805114,48850,6500,0.11,629372
14623127344420,9739892,8919658,49120,6128,0.16,718800
14623227415721,9684460,8905160,58852,6986,0.16,798732
14623327511766,9614164,8912678,46952,7702,0.16,790592
14623427590597,9629426,8883328,53956,7380,0.16,700088
14623527671258,9614292,8890540,45234,6622,0.16,791728
14623627705111,9596194,8877270,29730,4010,0.16,640282
14623727772758,9629346,8803294,30190,4138,0.16,625958
14623827859103,9629858,8831316,29768,4234,0.16,625308
14623927930375,9609066,8819136,30686,4022,0.16,787380
14624028044949,9638064,8803690,30844,11454,0.16,790436
14624128118220,9625254,8899664,30488,4140,0.12,788992
14624228307799,9976054,8932648,31368,4142,0.12,789988
14624328300284,9632606,8935038,30680,4080,0.12,628382
14624428384794,9603774,9003162,30576,4252,0.12,795228
14624528501082,9719094,8946992,42922,6898,0.12,759276
14624628598027,9570222,8960610,31028,3880,0.12,630876
14624728690595,9570818,9011722,30282,4010,0.12,794444
14624828758348,9645590,8872668,30138,3930,0.12,656562
14624928830789,9609776,8894740,29432,3940,0.12,792416
14625028914299,9625010,8886652,30626,3866,0.12,624834
14625128991455,9637824,8848662,34756,4388,0.12,688698
14625229046232,9573628,8841028,31706,4240,0.12,793486
14625329126475,9581540,8838332,30854,3834,0.12,621412
14625429172218,9502472,8837798,29606,4066,0.12,790588
14625529303218,9502516,8915246,29072,4092,0.12,791230
14625629387489,9512072,8914068,29048,3700,0.12,796912
